# WASP-17b transmission spectrum 
# This file contains:
# STIS G430L - GO 12473 - Sing et al. 2016, Nature
# STIS G750L - GO 12473 - Sing et al. 2016, Nature
# WFC3 G141 - GO 12181 - Mandel, et al., 2013, ApJ
# Spitzer 3.6 & 4.5 - Sing et al. 2016, Nature
# Data history:
# Presented in full in Sing et al. 2016, Nature with new WFC3 reduction
# Converted from: http://www.astro.ex.ac.uk/people/sing/David_Sing/Spectral_Library.html
# ----------------------------------------------------------------------------------------
# Wavelength (microns)  Delta Wavelength (microns)  (Rp/Rs)^2   (Rp/Rs)^2 +/-uncertainty
# ----------------------------------------------------------------------------------------
         0.3400000    0.05000000   0.01561000   0.00020740  
         0.4050000    0.01500000   0.01506020   0.00020372  
         0.4275000    0.00750000   0.01492307   0.00019057  
         0.4425000    0.00750000   0.01515115   0.00027818  
         0.4625000    0.01250000   0.01473796   0.00015296  
         0.4796000    0.00460000   0.01502586   0.00027213  
         0.4861000    0.00200000   0.01495484   0.00037910  
         0.4941000    0.00600000   0.01490108   0.00023437  
         0.5175000    0.00750000   0.01458539   0.00021014  
         0.5325000    0.00750000   0.01460231   0.00021268  
         0.5450000    0.00500000   0.01505038   0.00022573  
         0.5550000    0.00500000   0.01461923   0.00025875  
         0.5650000    0.00500000   0.01471612   0.00029842  
         0.5500000    0.02000000   0.01425158   0.00031755  
         0.5794000    0.00940000   0.01446247   0.00032711  
         0.5893000    0.00050000   0.01799354   0.00148895  
         0.6124000    0.02260000   0.01372647   0.00056471  
         0.6525000    0.01750000   0.01424442   0.00024825  
         0.6900000    0.02000000   0.01463132   0.00022982  
         0.7380000    0.02800000   0.01446728   0.00025018  
         0.7684000    0.00240000   0.01460231   0.00106339  
         0.7954000    0.02460000   0.01414434   0.00035203  
         0.8500000    0.03000000   0.01363290   0.00039698  
         0.9100000    0.03000000   0.01440480   0.00040567  
         0.9850000    0.04500000   0.01386035   0.00057452  
         1.1319000    0.02320000   0.01516100   0.00042110  
         1.1783000    0.02320000   0.01486936   0.00034143  
         1.2247000    0.02320000   0.01458781   0.00037925  
         1.2711000    0.02320000   0.01457332   0.00040562  
         1.3175000    0.02320000   0.01484499   0.00038745  
         1.3638999    0.02320000   0.01544800   0.00043004  
         1.4103000    0.02320000   0.01577285   0.00043454  
         1.4567000    0.02320000   0.01511916   0.00045003  
         1.5031000    0.02320000   0.01549029   0.00044557  
         1.5495000    0.02320000   0.01559002   0.00047946  
         1.5959001    0.02320000   0.01540081   0.00050633  
         1.6423000    0.02320000   0.01527696   0.00052654  
         3.5599999    0.38000000   0.01502586   0.00012258  
         4.5000000    0.56000000   0.01551270   0.00017188  
