Asymmetry,Phase,ATMOSPHERE-CLOUDFRACTION,ATMOSPHERE-AABUN,ATMOSPHERE-ASIZE,ATMOSPHERE-TEMPERATURE
Asym_0.1,ingress,0.55,0.17200000000000001,1.0,1696.7620000000002
Asym_0.1,mid,0.5,0.08,1.0,1724.18
Asym_0.1,egress,0.45,0.07200000000000001,1.0,1756.7620000000002
Asym_0.2,ingress,0.6,0.264,1.0,1669.344
Asym_0.2,mid,0.5,0.08,1.0,1724.18
Asym_0.2,egress,0.4,0.064,1.0,1789.344
Asym_0.3,ingress,0.65,0.3560000000000001,1.0,1641.926
Asym_0.3,mid,0.5,0.08,1.0,1724.18
Asym_0.3,egress,0.35,0.055999999999999994,1.0,1821.9260000000002
Asym_0.4,ingress,0.7,0.44800000000000006,1.0,1614.508
Asym_0.4,mid,0.5,0.08,1.0,1724.18
Asym_0.4,egress,0.3,0.048,1.0,1854.508
Asym_0.5,ingress,0.75,0.54,1.0,1587.0900000000001
Asym_0.5,mid,0.5,0.08,1.0,1724.18
Asym_0.5,egress,0.25,0.04,1.0,1887.0900000000001
Asym_0.6,ingress,0.8,0.632,1.0,1559.672
Asym_0.6,mid,0.5,0.08,1.0,1724.18
Asym_0.6,egress,0.2,0.032,1.0,1919.672
Asym_0.7,ingress,0.8500000000000001,0.7240000000000001,1.0,1532.254
Asym_0.7,mid,0.5,0.08,1.0,1724.18
Asym_0.7,egress,0.14999999999999997,0.023999999999999994,1.0,1952.2540000000001
Asym_0.8,ingress,0.9,0.8160000000000001,1.0,1504.836
Asym_0.8,mid,0.5,0.08,1.0,1724.18
Asym_0.8,egress,0.09999999999999998,0.016,1.0,1984.836
Asym_0.9,ingress,0.95,0.908,1.0,1477.4180000000001
Asym_0.9,mid,0.5,0.08,1.0,1724.18
Asym_0.9,egress,0.04999999999999999,0.007999999999999993,1.0,2017.4180000000001
Asym_1.0,ingress,1.00,1.00,1.0,1450.0
Asym_1.0,mid,0.5,0.08,1.0,1724.18
Asym_1.0,egress,0.00,0.00,1.0,2050.0
